bounty,frame_timestamp,game_id,killer_id,killer_team_id,monster_sub_type,monster_type,position_x,position_y,timestamp,type
0.0,480106,7586549521,2.0,100.0,,HORDE,4790.0,10182.0,433701,ELITE_MONSTER_KILL
0.0,480106,7586549521,2.0,100.0,,HORDE,4728.0,10058.0,459243,ELITE_MONSTER_KILL
0.0,480106,7586549521,2.0,100.0,,HORDE,4862.0,9960.0,466513,ELITE_MONSTER_KILL
0.0,600234,7586549521,7.0,200.0,HEXTECH_DRAGON,DRAGON,10138.0,4910.0,541789,ELITE_MONSTER_KILL
0.0,720241,7586549521,2.0,100.0,,HORDE,4790.0,10182.0,718004,ELITE_MONSTER_KILL
0.0,780282,7586549521,7.0,200.0,,HORDE,5210.0,10424.0,746859,ELITE_MONSTER_KILL
0.0,780282,7586549521,8.0,200.0,,HORDE,4852.0,10589.0,760929,ELITE_MONSTER_KILL
0.0,900307,7586549521,10.0,200.0,EARTH_DRAGON,DRAGON,10012.0,4940.0,863204,ELITE_MONSTER_KILL
0.0,1020341,7586549521,7.0,200.0,,RIFTHERALD,4765.0,10002.0,1009801,ELITE_MONSTER_KILL
0.0,1260405,7586549521,2.0,100.0,AIR_DRAGON,DRAGON,9936.0,4520.0,1206870,ELITE_MONSTER_KILL
0.0,1380423,7586549521,2.0,100.0,,ATAKHAN,11746.0,3385.0,1357809,ELITE_MONSTER_KILL
0.0,1560499,7586549521,6.0,200.0,,BARON_NASHOR,5007.0,10471.0,1540581,ELITE_MONSTER_KILL
0.0,1620527,7586549521,10.0,200.0,AIR_DRAGON,DRAGON,9837.0,4397.0,1573947,ELITE_MONSTER_KILL
0.0,1920587,7586549521,2.0,100.0,AIR_DRAGON,DRAGON,9837.0,4397.0,1895822,ELITE_MONSTER_KILL
0.0,420250,7587603876,2.0,100.0,,HORDE,4790.0,10182.0,393911,ELITE_MONSTER_KILL
0.0,420250,7587603876,1.0,100.0,,HORDE,4965.0,10096.0,399562,ELITE_MONSTER_KILL
0.0,420250,7587603876,2.0,100.0,,HORDE,4768.0,10484.0,405474,ELITE_MONSTER_KILL
0.0,480253,7587603876,7.0,200.0,EARTH_DRAGON,DRAGON,10258.0,4843.0,451187,ELITE_MONSTER_KILL
0.0,720287,7587603876,2.0,100.0,,HORDE,4790.0,10182.0,695154,ELITE_MONSTER_KILL
0.0,720287,7587603876,2.0,100.0,,HORDE,4765.0,10407.0,704471,ELITE_MONSTER_KILL
0.0,720287,7587603876,2.0,100.0,,HORDE,5071.0,10278.0,715170,ELITE_MONSTER_KILL
0.0,840325,7587603876,2.0,100.0,WATER_DRAGON,DRAGON,9837.0,4397.0,821066,ELITE_MONSTER_KILL
0.0,1020359,7587603876,2.0,100.0,,RIFTHERALD,4720.0,9934.0,1011246,ELITE_MONSTER_KILL
0.0,1200386,7587603876,2.0,100.0,FIRE_DRAGON,DRAGON,9955.0,4670.0,1170745,ELITE_MONSTER_KILL
0.0,1320437,7587603876,2.0,100.0,,ATAKHAN,11820.0,4131.0,1270613,ELITE_MONSTER_KILL
0.0,420143,7586955442,2.0,100.0,,HORDE,4800.0,10114.0,385998,ELITE_MONSTER_KILL
0.0,420143,7586955442,2.0,100.0,,HORDE,4844.0,10506.0,398902,ELITE_MONSTER_KILL
0.0,420143,7586955442,2.0,100.0,,HORDE,4392.0,10004.0,410224,ELITE_MONSTER_KILL
