realTimestamp,timestamp,type,match_id,itemId,participantId,creatorId,wardType,levelUpType,skillSlot,killerId,level,bounty,killStreakLength,shutdownBounty,victimDamageDealt,victimDamageReceived,victimId,position.x,position.y,killType,featType,featValue,teamId,assistingParticipantIds,laneType,killerTeamId,monsterType,monsterSubType,multiKillLength,buildingType,towerType,afterId,beforeId,goldGain,actualStartTime,name,gameId,winningTeam
1743867702625.0,0,PAUSE_END,KR_7587286299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1101.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1055.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3340.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3865.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1055.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3340.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1055.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3865.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3340.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3364.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1055.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1102.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1056.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,WARD_PLACED,KR_7587286299,,,5.0,YELLOW_TRINKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,SKILL_LEVEL_UP,KR_7587286299,,9.0,,,NORMAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,SKILL_LEVEL_UP,KR_7587286299,,4.0,,,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,SKILL_LEVEL_UP,KR_7587286299,,6.0,,,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,WARD_KILL,KR_7587286299,,,,YELLOW_TRINKET,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,1055.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,2003.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,ITEM_PURCHASED,KR_7587286299,3340.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,WARD_PLACED,KR_7587286299,,,2.0,YELLOW_TRINKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,7.0,,,NORMAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,2.0,,,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,1.0,,,NORMAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,3.0,,,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,5.0,,,NORMAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,10.0,,,NORMAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,WARD_PLACED,KR_7587286299,,,8.0,YELLOW_TRINKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,WARD_PLACED,KR_7587286299,,,6.0,YELLOW_TRINKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SKILL_LEVEL_UP,KR_7587286299,,8.0,,,NORMAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,ITEM_DESTROYED,KR_7587286299,2003.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,LEVEL_UP,KR_7587286299,,7.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,LEVEL_UP,KR_7587286299,,8.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,SKILL_LEVEL_UP,KR_7587286299,,8.0,,,NORMAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,LEVEL_UP,KR_7587286299,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
